sequence,name,area,camera_type,device_name,host,sdk_port
292,南面围墙枪机01,赛迪电气/周界,枪机,南面围墙枪机01,10.10.1.20,8000
300,南面围墙枪机02,赛迪电气/周界,枪机,南面围墙枪机02,10.10.1.19,8000
313,南面围墙枪机03,赛迪电气/周界,枪机,南面围墙枪机03,10.10.1.47,8000
295,南面围墙枪机04,赛迪电气/周界,枪机,南面围墙枪机04,10.10.1.21,8000
311,南面围墙枪机05,赛迪电气/周界,枪机,南面围墙枪机05,10.10.1.48,8000
337,厂房南面立杆枪机01,赛迪电气/园区,枪机,厂房南面立杆枪机01,10.10.1.46,8000
345,厂房南面立杆枪机02,赛迪电气/园区,枪机,厂房南面立杆枪机02,10.10.1.45,8000
343,厂房东南角立杆球机01,赛迪电气/园区,球机,厂房东南角立杆球机01,10.10.2.9,8000
344,厂房东南角立杆云台枪机01,赛迪电气/园区,云台枪机,厂房东南角立杆球机01,10.10.2.9,8000
273,南面围墙枪机06,赛迪电气/周界,枪机,成套车间10号门枪机,10.10.1.56,8000
286,南面围墙枪机07,赛迪电气/周界,枪机,钣金车间6#门枪机,10.10.1.57,8000
276,南面围墙枪机08,赛迪电气/周界,枪机,南面围墙枪机08,10.10.1.71,8000
275,西面围墙枪机02,赛迪电气/周界,枪机,西面围墙枪机02,10.10.1.70,8000
319,厂房南面立杆监控03,赛迪电气/园区,枪机,厂房南面立杆监控03,10.10.1.52,8000
33,西面围墙枪机03,赛迪电气/周界,枪机,西面围墙枪机03,10.10.1.72,8000
32,西面围墙枪机04,赛迪电气/周界,枪机,西面围墙枪机04,10.10.1.73,8000
225,摩托车停车位热成像枪机普通画面,赛迪电气/园区,枪机,摩托车停车位热成像枪机,10.10.1.88,8000
226,摩托车停车位热成像枪机,赛迪电气/园区,枪机,摩托车停车位热成像枪机,10.10.1.88,8000
230,6#楼西南角立杆枪机02,赛迪电气/园区,枪机,6#楼西南角立杆枪机02,10.10.1.67,8000
116,宿舍楼西南角立杆枪机01,赛迪电气/园区,枪机,宿舍楼西南角立杆枪机01,10.10.1.65,8000
31,5#楼西面立杆枪机01,赛迪电气/园区,枪机,5#楼西面立杆枪机01,10.10.1.77,8000
10,6号楼西南角立杆球机,赛迪电气/园区,球机,6号楼西南角立杆球机,10.10.2.3,8000
11,6号楼西南角立杆云台枪机,赛迪电气/园区,云台枪机,6号楼西南角立杆球机,10.10.2.3,8000
